D4,D5,4.610,32.100,-57.600,-9.900,5.000,6.000,-9.900,213.100,57.900,,
D5,D5A,2.020,193.600,20.400,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D5A,D5B,23.250,315.700,25.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D5,D6,10.590,140.000,-42.200,1.000,1.000,1.000,0.000,319.800,42.200,,
D6,D7,6.400,116.400,-15.100,2.000,1.000,2.000,1.000,296.300,15.400,,
D7,D8,9.460,106.100,-29.600,1.000,1.000,0.000,0.000,286.000,29.600,,
D9,D8,11.790,256.200,13.600,-9.900,4.000,0.000,-9.900,76.200,-13.600,,
D9,D10,5.670,207.600,-49.600,1.000,0.000,1.000,1.000,27.500,49.500,,
D9,D11,4.440,168.000,-51.000,0.000,0.000,0.000,0.000,348.250,51.000,,
D11,D12,3.180,82.300,1.500,0.000,0.000,0.000,0.000,262.400,-1.500,,
D9,D9A,11.550,305.900,32.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D1,D13,5.920,271.600,-25.700,1.000,3.000,0.000,1.000,91.600,25.700,,
D13,D14,3.650,253.300,46.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D14,D15,7.920,303.600,11.700,1.000,4.000,1.000,1.000,-999.000,-999.000,,
B25,D16,16.310,129.300,-39.900,0.000,0.000,0.000,0.000,309.100,39.700,,
D16,D16A,7.960,358.100,-9.000,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D16A,D16B,11.920,205.900,-85.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D17,D16,8.550,270.600,-45.700,0.000,0.000,0.000,0.000,90.600,45.600,,
D17,D18,14.270,122.100,-8.000,0.000,0.000,0.000,0.000,302.100,8.400,,
D19,D18,13.930,192.000,-27.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D19,D20,5.560,53.800,-47.500,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D20,D21,5.700,162.100,-20.100,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D21,D22,6.110,106.700,-56.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D22,D23,9.690,223.800,84.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D24,D18,12.090,283.400,39.000,0.000,0.000,0.000,0.000,103.700,-39.000,,
D24,D25,8.610,347.800,-24.500,0.000,0.000,0.000,0.000,167.800,24.500,,
D25,D25A,16.130,82.700,4.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D25,D26,12.860,118.200,-36.600,0.000,0.000,0.000,0.000,298.000,36.400,,
D27,D25,7.810,157.700,-7.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D27A,D27,10.320,69.700,-7.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D27A,D27B,2.680,103.900,12.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D27B,D27C,6.080,162.200,55.700,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D27C,D27D,5.120,0.000,90.000,0.000,0.000,0.000,0.000,180.000,-90.000,,
D18,D28,17.840,120.400,0.800,0.000,0.000,0.000,0.000,300.700,-0.800,,
D28,D28A,7.030,159.200,16.300,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D28A,D28B,16.380,257.300,1.200,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D28,D29,7.420,100.000,-0.800,0.000,0.000,0.000,0.000,279.900,0.700,,
D29,D30,14.020,60.900,-70.400,0.000,0.000,0.000,0.000,241.200,70.300,,
D30,D31,7.310,55.200,4.800,0.000,0.000,0.000,0.000,235.200,-5.200,,
D30,D30A,17.840,126.500,23.800,0.000,0.000,0.000,0.000,-999.000,-999.000,,
D31,E1,9.530,173.700,5.600,0.000,0.000,0.000,0.000,-999.000,-999.000,,
